sample_id,session_id,speaker_id,device_name,room_tag,file_path,phrase_index,phrase_text,is_holdout,rms_db,peak_amplitude,status,timestamp
sample_dataset_enrollment_001_0001,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0001.wav,1,"Asta, what's on my schedule today.",False,-22.1,0.4904,OK,2026-08-13T17:14:26.127112Z
sample_dataset_enrollment_001_0002,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0002.wav,2,"Hey Asta, set a timer for ten minutes.",False,-27.36,0.3824,OK,2026-08-13T17:14:26.148113Z
sample_dataset_enrollment_001_0003,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0003.wav,3,"Asta, three seven two nine one.",False,-26.08,0.4832,OK,2026-08-13T17:14:26.176112Z
sample_dataset_enrollment_001_0004,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0004.wav,4,This is just me talking normally for a few seconds.,False,-25.18,0.3599,OK,2026-08-13T17:14:26.202123Z
sample_dataset_enrollment_001_0005,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0005.wav,5,"Asta, can you check the weather.",False,-23.62,0.4762,OK,2026-08-13T17:14:26.231409Z
sample_dataset_enrollment_001_0006,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0006.wav,6,One two three four five six seven.,False,-22.51,0.4685,OK,2026-08-13T17:14:26.252408Z
sample_dataset_enrollment_001_0007,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0007.wav,7,"Asta, remind me to call back later.",False,-25.15,0.3501,OK,2026-08-13T17:14:26.276405Z
sample_dataset_enrollment_001_0008,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0008.wav,8,I'm recording this in one sitting on one device.,False,-26.28,0.2899,OK,2026-08-13T17:14:26.295406Z
sample_dataset_enrollment_001_0009,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0009.wav,9,"Asta, play some music.",False,-26.13,0.4096,OK,2026-08-13T17:14:26.315421Z
sample_dataset_enrollment_001_0010,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0010.wav,10,"Testing testing, this is sample number ten.",False,-23.9,0.4707,OK,2026-08-13T17:14:26.334936Z
sample_dataset_enrollment_001_0011,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0011.wav,11,"Asta, what time is it right now.",False,-22.99,0.4865,OK,2026-08-13T17:14:26.350937Z
sample_dataset_enrollment_001_0012,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0012.wav,12,A quick brown fox jumps over something or other.,False,-22.49,0.4875,OK,2026-08-13T17:14:26.372944Z
sample_dataset_enrollment_001_0013,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0013.wav,13,"Asta, stop.",False,-23.74,0.4326,OK,2026-08-13T17:14:26.392937Z
sample_dataset_enrollment_001_0014,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0014.wav,14,Nine eight seven six five four three.,False,-24.98,0.4681,OK,2026-08-13T17:14:26.413944Z
sample_dataset_enrollment_001_0015,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0015.wav,15,"Asta, open my notes app.",False,-21.69,0.4754,OK,2026-08-13T17:14:26.433207Z
sample_dataset_enrollment_001_0016,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0016.wav,16,Just another casual sentence for variety.,False,-23.29,0.484,OK,2026-08-13T17:14:26.451205Z
sample_dataset_enrollment_001_0017,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0017.wav,17,"Asta, how's the traffic looking.",False,-23.17,0.4851,OK,2026-08-13T17:14:26.472209Z
sample_dataset_enrollment_001_0018,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0018.wav,18,"Twelve, twenty, two hundred, two thousand.",False,-23.96,0.4195,OK,2026-08-13T17:14:26.491217Z
sample_dataset_enrollment_001_0019,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0019.wav,19,"Asta, good morning.",True,-24.56,0.3965,OK,2026-08-13T17:14:26.508220Z
sample_dataset_enrollment_001_0020,dataset_enrollment_001,ASTA_primary,Headset (EarPods),user-dataset-room,DATA\sample_0020.wav,20,"Last one, wrapping up the enrollment set.",True,-22.25,0.4776,OK,2026-08-13T17:14:26.526745Z
